fw,mver,lts,dst_name,af,dst_addr,src_addr,proto,ttl,size,result,dup,rcvd,sent,min,max,avg,msm_id,prb_id,timestamp,msm_name,from,type,step,stored_timestamp
5080,2.6.2,20,198.41.0.4,4,198.41.0.4,10.0.1.40,ICMP,58.0,32,"[{'rtt': 9.068515}, {'rtt': 8.067233}, {'rtt': 8.89551}]",0,3,3,8.067233,9.068515,8.677086000000001,1009,1000000,1789353235,Ping,45.83.6.19,ping,240,1789353338
5000,2.0.0,69,198.41.0.4,4,198.41.0.4,193.0.10.94,ICMP,60.0,20,"[{'rtt': 4.264481}, {'rtt': 3.829444}, {'rtt': 4.495759}]",0,3,3,3.829444,4.495759,4.196561333333333,1009,1000003,1789353229,Ping,193.0.10.94,ping,240,1789353276
5080,2.6.2,1902220,198.41.0.4,4,198.41.0.4,192.168.2.200,ICMP,54.0,32,"[{'rtt': 56.389899}, {'rtt': 56.331068}, {'rtt': 56.250238}]",0,3,3,56.250238,56.389899,56.323735,1009,1000023,1789353215,Ping,159.146.31.90,ping,240,1789353358
5100,2.6.4,56,198.41.0.4,4,198.41.0.4,85.209.51.37,ICMP,56.0,32,"[{'rtt': 17.294824}, {'rtt': 16.554386}, {'rtt': 17.743276}]",0,3,3,16.554386,17.743276,17.197495333333332,1009,1000030,1789353194,Ping,85.209.51.37,ping,240,1789353317
5080,2.6.3,44,198.41.0.4,4,198.41.0.4,192.168.201.2,ICMP,44.0,32,"[{'rtt': 98.879286}, {'rtt': 98.352578}, {'rtt': 96.425016}]",0,3,3,96.425016,98.879286,97.88562666666667,1009,1000033,1789353236,Ping,185.64.223.156,ping,240,1789353247
5130,2.6.4,10,198.41.0.4,4,198.41.0.4,192.168.0.14,ICMP,59.0,32,"[{'rtt': 58.397505}, {'rtt': 58.386192}, {'rtt': 58.690227}]",0,3,3,58.386192,58.690227,58.491308000000004,1009,1000054,1789353218,Ping,2.60.190.26,ping,240,1789353276
5080,2.6.2,40,198.41.0.4,4,198.41.0.4,89.189.191.217,ICMP,56.0,32,"[{'rtt': 91.723102}, {'rtt': 91.7169}, {'rtt': 91.664353}]",0,3,3,91.664353,91.723102,91.70145166666667,1009,1000055,1789353206,Ping,89.189.191.217,ping,240,1789353272
5080,2.6.3,52,198.41.0.4,4,198.41.0.4,78.44.0.26,ICMP,53.0,32,"[{'rtt': 100.681776}, {'rtt': 97.917928}, {'rtt': 93.483243}]",0,3,3,93.483243,100.681776,97.36098233333333,1009,1000063,1789353222,Ping,78.44.0.26,ping,240,1789353289
5080,2.6.3,6,198.41.0.4,4,198.41.0.4,10.50.84.12,ICMP,53.0,32,"[{'rtt': 18.848836}, {'rtt': 20.336411}, {'rtt': 18.943449}]",0,3,3,18.848836,20.336411,19.376231999999998,1009,1000088,1789353194,Ping,77.236.218.67,ping,240,1789353243
5080,2.6.3,15,198.41.0.4,4,198.41.0.4,192.168.222.30,ICMP,51.0,32,"[{'rtt': 91.170025}, {'rtt': 91.084715}, {'rtt': 91.175651}]",0,3,3,91.084715,91.175651,91.14346366666666,1009,1000093,1789353218,Ping,77.48.128.32,ping,240,1789353255
